id,content,start,end,group
1,Write & send pitch to faculty,2022-08-16,2022-08-18,admission
2,Trip MTL,2022-08-13,2022-08-26,documentary
3,Schedule English test,2022-08-29,NA,admission
4,Check transcripts of post-sec education,2022-08-28,NA,admission
5,Gather 3 letters of reference,2022-08-15,2022-09-15,admission
6,Write statement of interest,2022-08-10,2022-08-16,admission
7,Write resume of filme and related experience,2022-08-07,2022-08-11,admission
8,Create portfolio of films with links,2022-08-29,2022-09-02,admission
9,Write description of each film + your role in each of them,2022-08-29,2022-09-02,admission
10,Write proposal for a thesis film,2022-09-05,2022-09-16,admission
11,MFA applications open,2022-09-25,2023-01-15,admission
12,Work permit expires,2023-01-23,NA,immigration
13,Apply for new permit,2022-12-23,2023-01-22,immigration
14,Re-enter as visitor if application plan fails,2023-01-12,2023-01-22,immigration
15,Submit application for MFA,2022-09-25,2022-10-09,admission
16,Deadline for English test,2022-09-09,NA,admission
